float,float
-2.14,9.14
4.06,-3.46
-8.16,-4.63
0.32,-9.49
-3.0,-3.73
8.24,4.44
8.99,1.98
-4.13,-8.98
-9.23,1.53
0.11,-4.7
-4.56,-7.98
-6.01,-7.08
-7.65,5.16
-9.02,-0.25
-9.67,1.01
-8.67,-4.74
9.5,2.22
8.56,-4.94
2.24,9.31
8.37,-3.86
5.26,7.51
3.43,-3.55
7.6,-6.27
-0.82,-9.13
1.93,9.39
8.48,-3.72
-0.76,-5.83
-5.37,7.3
-3.27,-3.62
-9.57,-0.56
8.01,-4.19
-5.22,-7.82
-7.08,5.6
-8.65,4.02
3.33,9.21
-0.14,9.36
-9.04,4.19
-8.54,3.4
-1.86,-4.81
8.46,3.6
-2.01,8.82
3.17,8.93
-6.14,7.84
-5.01,-7.53
-9.68,-0.58
-3.59,3.86
-9.32,2.39
-5.62,7.41
3.16,-4.39
-5.59,7.45
1.71,8.85
-0.84,-4.78
-1.8,-5.22
0.68,-5.56
-5.82,7.14
0.72,-9.02
-3.29,-8.39
-9.49,1.44
0.96,9.17
6.25,-7.66
7.82,5.6
-3.06,9.51
8.91,2.85
1.93,-9.52
-8.05,-5.84
-5.11,-7.66
-3.13,-9.45
-2.37,-4.69
3.98,8.17
4.59,4.55
-3.46,-8.67
-1.1,-3.98
8.29,5.55
2.65,-9.58
8.72,3.07
-8.35,3.52
-1.24,-9.18
5.35,-7.42
-2.03,-4.57
3.83,-9.14
-3.96,-3.31
5.37,8.29
7.07,6.94
-1.37,-9.48
-4.83,8.29
1.42,-9.37
2.09,8.99
-7.23,-6.2
2.96,-8.93
8.52,-3.12
-7.46,6.65
-9.17,-0.34
-4.15,3.05
-4.1,4.43
-7.81,-5.31
8.07,4.24
4.07,4.44
9.67,0.88
0.51,-9.71
-8.22,5.07
-9.36,-0.13
9.27,-0.62
0.53,-5.57
8.3,-4.44
-7.15,6.83
-1.78,-5.14
0.28,-9.82
8.85,-2.94
-3.81,4.9
-4.07,8.96
8.77,2.29
-8.22,4.77
4.37,4.43
8.6,-4.1
8.94,2.54
8.56,-3.68
9.38,0.78
6.07,-6.92
-9.01,0.37
1.88,-4.05
7.35,-6.32
-9.22,1.91
4.55,8.15
-9.39,-0.21
-2.53,9.07
-7.06,6.52
7.9,4.59
0.55,-5.16
-2.27,-8.99
-8.1,-5.33
0.8,-4.31
1.9,-5.21
0.31,-5.46
3.85,3.05
-8.48,3.93
-9.43,-0.09
-3.63,3.38
-0.39,-9.05
-3.8,3.75
8.66,-4.09
-9.11,-3.74
-5.9,7.77
2.84,-3.55
2.47,9.33
1.54,-9.47
-1.43,8.94
3.81,8.62
-1.51,-4.15
9.12,-0.3
1.4,9.84
-7.58,-6.29
-0.08,9.64
-1.44,9.0
8.42,-3.46
7.97,-5.67
-5.23,7.67
-9.2,0.7
3.54,8.83
3.47,4.06
-9.79,1.92
-9.28,-1.27
-8.88,2.74
-3.57,-8.72
-7.78,4.92
-2.18,9.39
4.81,4.18
-4.19,7.97
-4.93,3.89
-4.56,4.13
-0.8,-4.82
-0.07,9.22
0.08,-9.34
-9.14,-2.88
-0.39,-4.71
-2.21,9.53
1.83,-4.05
-4.44,-2.97
-0.23,9.18
3.87,4.46
-5.01,-7.89
3.61,3.9
2.43,-3.7
-4.56,-8.79
-0.05,-4.49
-8.97,3.82
9.44,-2.53
-5.63,7.46
8.22,4.32
-1.93,-5.29
1.52,-4.17
9.4,-0.66
2.11,-4.05
9.69,-0.94
-7.1,6.02
2.4,9.24
5.41,8.04
7.21,-6.13
6.38,6.43
4.54,4.37
7.5,6.16
8.42,4.22
2.99,-8.76
0.06,-9.27
-5.39,-7.85
9.18,-1.34
-2.85,-3.62
3.53,8.66
4.8,-7.9
1.95,-3.95
0.21,-5.85
6.68,-7.3
-2.16,9.65
-0.45,9.5
-6.21,6.91
3.88,4.6
-3.1,9.17
-2.46,-8.84
-3.27,-9.32
4.3,4.48
-9.98,-0.61
-0.34,-5.41
-3.91,-8.24
-0.79,-4.32
3.13,4.26
3.09,9.3
0.11,9.94
-2.68,-4.9
4.6,-8.79
-2.63,-4.08
-3.96,8.08
-0.34,-4.16
6.74,6.94
-2.75,-9.46
6.34,7.35
5.03,-7.86
6.37,-6.93
-1.26,8.91
-8.04,4.7
-4.78,7.87
-8.57,3.73
-2.52,9.52
0.44,-4.23
-7.49,6.13
9.13,2.43
4.68,8.56
0.97,-5.26
2.26,9.25
4.82,4.12
-7.38,6.55
-8.41,-4.52
1.12,-4.19
-3.2,8.96
-6.05,-7.16
-1.56,-5.21
-8.97,-1.72
5.79,-6.97
-2.78,-4.08
-7.63,4.88
7.85,5.05
1.75,9.22
0.17,-5.96
8.71,-4.23
-5.23,8.25
-8.63,4.77
-1.62,-5.46
8.34,-3.56
-8.89,2.88
9.38,-3.03
5.2,8.43
2.37,-4.77
-7.57,-5.32
-8.55,-5.04
6.1,7.15
-9.28,-2.17
-2.22,9.01
0.15,-5.26
4.45,8.39
-5.7,-7.7
-0.05,9.38
-0.8,-9.8
-3.49,4.74
-3.44,-3.43
-5.3,-7.89
5.81,6.89
3.35,-9.04
-2.24,-9.02
3.72,-3.28
-9.06,-3.68
-4.16,3.67
0.3,9.01
-3.15,8.71
9.64,0.54
5.76,7.52
9.0,4.06
3.03,-9.36
-9.56,-2.49
-9.44,-0.94
-9.2,-3.05
-8.3,4.17
-8.77,-2.33
8.68,4.36
-9.56,0.81
8.3,4.97
0.34,-4.59
9.08,-0.22
-4.59,-8.68
3.89,-8.75
6.23,6.66
5.15,-7.71
-1.7,-4.69
6.83,6.09
4.06,3.6
2.67,-8.91
9.39,3.21
-3.21,-4.29
-1.04,-5.78
8.38,4.34
6.06,-7.84
-3.03,8.71
-8.88,4.47
-2.42,-4.02
-3.39,-3.53
8.18,-4.8
2.51,-9.53
-5.28,7.49
-7.51,5.18
-2.78,-9.47
3.95,3.68
-6.0,7.52
-1.25,-4.26
9.32,2.06
-3.67,-9.2
-3.88,4.25
-3.03,-3.61
6.94,-7.14
-3.29,4.69
-7.43,5.42
2.58,9.13
8.58,3.06
2.99,9.01
-3.41,4.75
4.44,4.89
-4.51,8.43
-4.72,4.57
8.94,-2.75
-9.36,-1.02
-6.83,-6.45
8.38,4.91
-4.75,-7.8
4.04,4.85
2.51,-4.79
-0.34,-4.51
5.09,-7.58
7.09,5.62
-4.25,-3.01
3.08,-8.55
8.58,-4.45
0.98,-9.12
-9.6,-1.74
1.95,-5.03
6.11,7.1
-3.8,4.14
7.06,6.12
9.53,-1.69
8.39,-5.14
-7.3,-5.73
-9.28,3.2
1.46,9.45
7.41,5.13
4.25,3.84
1.83,8.97
4.05,4.24
1.77,-4.67
7.08,6.61
-3.28,4.58
-3.29,4.58
6.6,6.54
-1.59,-4.65
8.99,-3.9
-7.68,4.85
-0.65,-4.68
-6.68,-7.22
8.74,2.98
-4.11,-3.06
-6.34,6.51
-1.38,9.33
-7.78,4.8
-0.71,-5.43
4.6,4.0
-6.75,-5.98
2.06,9.69
7.61,5.48
3.07,3.91
2.49,-4.71
-9.21,2.2
-9.23,3.15
-2.89,-3.57
4.76,8.7
5.36,8.16
0.39,9.3
-4.03,3.72
4.01,-9.1
9.19,1.97
7.63,5.65
9.29,-0.39
